sign,wkt
U101,"LINESTRING (-120.2005570 34.4735690, -120.2000420 34.4735400, -120.1994470 34.4734860)"
U101,"LINESTRING (-120.2008740 34.4735850, -120.2007520 34.4735800, -120.2005570 34.4735690)"
U101,"LINESTRING (-120.2218440 34.5128410, -120.2211420 34.5133790, -120.2211210 34.5133930, -120.2210270 34.5134540, -120.2208570 34.5135610)"
U101,"LINESTRING (-120.2242590 34.5109930, -120.2240390 34.5111540, -120.2237430 34.5113810, -120.2230830 34.5118760, -120.2229840 34.5119590, -120.2225880 34.5122560, -120.2220410 34.5126900, -120.2218440 34.5128410)"
U101,"LINESTRING (-120.1991610 34.5255220, -120.1990880 34.5255780, -120.1985180 34.5259880, -120.1981840 34.5263090, -120.1981500 34.5263470, -120.1977950 34.5267360, -120.1976140 34.5269430, -120.1972540 34.5274520, -120.1969830 34.5280110, -120.1967050 34.5286660, -120.1964920 34.5293440, -120.1963650 34.5299730, -120.1963190 34.5304270, -120.1963380 34.5311180, -120.1963650 34.5316190, -120.1963920 34.5321200, -120.1964400 34.5328470)"
U101,"LINESTRING (-120.1964140 34.5413750, -120.1963330 34.5415740, -120.1961840 34.5419410)"
U101,"LINESTRING (-120.1967380 34.5405390, -120.1967040 34.5406430, -120.1965290 34.5410940, -120.1964140 34.5413750)"
U101,"LINESTRING (-120.1937440 34.5757750, -120.1937930 34.5761970, -120.1938330 34.5766140, -120.1938190 34.5771070)"
U101,"LINESTRING (-120.1935900 34.5744470, -120.1935980 34.5745210, -120.1936980 34.5753760)"
U101,"LINESTRING (-120.1943230 34.5939480, -120.1943180 34.5940580, -120.1942960 34.5944050, -120.1942800 34.5946130)"
U101,"LINESTRING (-120.1940740 34.5955900, -120.1939220 34.5960460, -120.1937520 34.5964400, -120.1937200 34.5965230)"
U101,"LINESTRING (-120.1937200 34.5965230, -120.1937080 34.5965540, -120.1935830 34.5968260)"
U101,"LINESTRING (-120.1923320 34.5477830, -120.1923050 34.5478560, -120.1919780 34.5486100, -120.1917590 34.5493630, -120.1916340 34.5498310, -120.1914020 34.5508850, -120.1913470 34.5515060, -120.1913080 34.5519660, -120.1912870 34.5525150, -120.1913130 34.5529680, -120.1913400 34.5534510, -120.1914030 34.5539210, -120.1914930 34.5543020)"
U101,"LINESTRING (-120.1916490 34.5892890, -120.1917580 34.5894500, -120.1918410 34.5895600)"
S246,"LINESTRING (-120.1932980 34.6132700, -120.1924220 34.6129460, -120.1910290 34.6124200)"
S246,"LINESTRING (-120.2906270 34.6347260, -120.2904030 34.6345420, -120.2895630 34.6338300, -120.2886650 34.6331160, -120.2882940 34.6328020, -120.2880330 34.6326030, -120.2879030 34.6325040, -120.2870050 34.6319290, -120.2864490 34.6316020, -120.2859010 34.6313110, -120.2851340 34.6309380, -120.2847800 34.6307880, -120.2840250 34.6304850, -120.2835890 34.6303280, -120.2832530 34.6302160, -120.2818790 34.6298150, -120.2815620 34.6297410, -120.2814110 34.6297150, -120.2801130 34.6295370, -120.2797210 34.6294660)"
S246,"LINESTRING (-120.2797210 34.6294660, -120.2796970 34.6294620, -120.2789770 34.6292870, -120.2782140 34.6291210)"
S246,"LINESTRING (-120.2782140 34.6291210, -120.2781520 34.6291080, -120.2778330 34.6290500, -120.2777190 34.6289930, -120.2773440 34.6289160, -120.2759350 34.6286280, -120.2757890 34.6285910)"
S246,"LINESTRING (-120.2478060 34.6207780, -120.2471420 34.6208970, -120.2435720 34.6215620, -120.2434600 34.6215830, -120.2412300 34.6220140)"
S246,"LINESTRING (-120.2357330 34.6220000, -120.2352840 34.6219920, -120.2348490 34.6220120, -120.2343000 34.6220530, -120.2342410 34.6220580, -120.2338420 34.6220920, -120.2332910 34.6221500, -120.2322590 34.6222900, -120.2316000 34.6224100, -120.2307790 34.6225890)"
S246,"LINESTRING (-120.2243940 34.6240340, -120.2242310 34.6240590, -120.2238800 34.6240890)"
S246,"LINESTRING (-120.1988920 34.6154200, -120.1986820 34.6153360, -120.1979960 34.6150520, -120.1977970 34.6149760)"
U101,"LINESTRING (-120.1891930 34.6183980, -120.1891920 34.6184150, -120.1891920 34.6184560, -120.1891660 34.6208830, -120.1891600 34.6210490)"
S246,"LINESTRING (-120.1880130 34.6112540, -120.1870800 34.6109020)"
U101,"LINESTRING (-120.1903450 34.6102210, -120.1900560 34.6120570)"
U101,"LINESTRING (-120.1914350 34.6043250, -120.1913380 34.6048550, -120.1912550 34.6052530, -120.1912420 34.6053060)"
U101,"LINESTRING (-120.1915250 34.6038340, -120.1914350 34.6043250)"
U101,"LINESTRING (-120.1908600 34.6074370, -120.1907530 34.6080440, -120.1907450 34.6080820, -120.1905290 34.6091720, -120.1904390 34.6096500, -120.1904110 34.6098010, -120.1903960 34.6098990)"
U101,"LINESTRING (-120.1903960 34.6098990, -120.1903450 34.6102210)"
S246,"LINESTRING (-120.1869930 34.6108690, -120.1865320 34.6106790, -120.1863320 34.6106520, -120.1861100 34.6105710)"
S246,"LINESTRING (-120.1870800 34.6109020, -120.1869930 34.6108690)"
S246,"LINESTRING (-120.1861100 34.6105710, -120.1850380 34.6101770, -120.1849680 34.6101510)"
S246,"LINESTRING (-120.1890830 34.6116610, -120.1889120 34.6115930, -120.1888030 34.6115520)"
U101,"LINESTRING (-120.1895880 34.6144460, -120.1895660 34.6145610, -120.1893970 34.6156390, -120.1893780 34.6157280, -120.1893500 34.6158570, -120.1893100 34.6162200)"
S246,"LINESTRING (-120.1910290 34.6124200, -120.1907850 34.6123280, -120.1902930 34.6121430, -120.1902140 34.6121140)"
U101,"LINESTRING (-120.1900460 34.6120960, -120.1900380 34.6121270, -120.1895880 34.6144460)"
S246,"LINESTRING (-120.1900560 34.6120570, -120.1895080 34.6118290, -120.1890830 34.6116610)"
S246,"LINESTRING (-120.1902140 34.6121140, -120.1900880 34.6120680)"
S246,"LINESTRING (-120.1900880 34.6120680, -120.1900560 34.6120570)"
U101,"LINESTRING (-120.1900560 34.6120570, -120.1900460 34.6120960)"
U101,"LINESTRING (-120.1893100 34.6162200, -120.1892990 34.6163230, -120.1892940 34.6163650)"
S246,"LINESTRING (-120.1888030 34.6115520, -120.1880130 34.6112540)"
U101,"LINESTRING (-120.1891600 34.6210490, -120.1891560 34.6211820, -120.1891500 34.6213600, -120.1891260 34.6217330, -120.1890300 34.6226120, -120.1890060 34.6228000)"
S246,"LINESTRING (-120.1716610 34.6044760, -120.1706270 34.6040080, -120.1705860 34.6039890)"
U101,"LINESTRING (-120.1803580 34.6576040, -120.1788700 34.6597920, -120.1781480 34.6608430, -120.1777460 34.6614000, -120.1774750 34.6618540, -120.1771170 34.6623620, -120.1765030 34.6631700, -120.1762930 34.6634350, -120.1762700 34.6634650, -120.1756290 34.6641760, -120.1752690 34.6645330, -120.1749400 34.6648440, -120.1746360 34.6651100)"
U101,"LINESTRING (-120.1813010 34.6561810, -120.1811950 34.6563550, -120.1809010 34.6568060, -120.1803580 34.6576040)"
S1,"LINESTRING (-120.3528810 34.5386360, -120.3529080 34.5386780, -120.3530990 34.5390380, -120.3532110 34.5392850, -120.3539050 34.5407060, -120.3542120 34.5413060, -120.3543350 34.5415680, -120.3547850 34.5425300, -120.3554510 34.5439210, -120.3556780 34.5443740, -120.3557560 34.5445400, -120.3572900 34.5478100, -120.3579830 34.5493290, -120.3581380 34.5496690, -120.3585480 34.5504040, -120.3589420 34.5511540, -120.3592290 34.5516210)"
S1,"LINESTRING (-120.3924570 34.5843220, -120.3922610 34.5843090, -120.3915630 34.5842740, -120.3908810 34.5842160, -120.3902260 34.5841360, -120.3895820 34.5840450, -120.3889230 34.5839330, -120.3883100 34.5838190, -120.3876000 34.5837160, -120.3866230 34.5836510, -120.3856040 34.5835750, -120.3854770 34.5835530, -120.3851880 34.5834850, -120.3850320 34.5834320, -120.3850020 34.5834200, -120.3846130 34.5832590, -120.3842400 34.5830240, -120.3840030 34.5828470, -120.3837750 34.5826490, -120.3834990 34.5823420, -120.3830370 34.5817600)"
S246,"LINESTRING (-120.2518560 34.6200410, -120.2513280 34.6201460, -120.2478060 34.6207780)"
S246,"LINESTRING (-120.2142140 34.6214240, -120.2141650 34.6214040, -120.2141440 34.6213950, -120.2140680 34.6213650, -120.2135910 34.6211730, -120.2128930 34.6209080, -120.2128090 34.6208750, -120.2111770 34.6202270, -120.2108230 34.6200870, -120.2094040 34.6195440, -120.2091780 34.6194600, -120.2091240 34.6194390, -120.2086890 34.6192660, -120.2063970 34.6183650, -120.2058650 34.6181480, -120.2057940 34.6181200, -120.2050050 34.6178100, -120.2044810 34.6176010, -120.2042940 34.6175330, -120.2039160 34.6173950, -120.2038130 34.6173540, -120.2027940 34.6169430, -120.2027560 34.6169280, -120.2009620 34.6162210, -120.1998820 34.6158160, -120.1988920 34.6154200)"
U101,"LINESTRING (-120.1854770 34.6378380, -120.1854640 34.6380730, -120.1854620 34.6382760, -120.1854620 34.6383120, -120.1853760 34.6414420, -120.1853320 34.6419630, -120.1852330 34.6425830, -120.1851540 34.6429820, -120.1849390 34.6438710, -120.1847930 34.6445250, -120.1844830 34.6457710, -120.1843140 34.6463610, -120.1840080 34.6475060, -120.1838160 34.6482660, -120.1838120 34.6482800, -120.1835600 34.6493730, -120.1833800 34.6500400, -120.1833740 34.6500630, -120.1831170 34.6510970, -120.1828860 34.6519580, -120.1828290 34.6521790)"
S246,"LINESTRING (-120.1849680 34.6101510, -120.1848310 34.6101000, -120.1847160 34.6100570, -120.1844500 34.6099620, -120.1843330 34.6099210, -120.1811020 34.6086930, -120.1805960 34.6084950, -120.1798060 34.6081730, -120.1793040 34.6079490, -120.1793010 34.6079480, -120.1772200 34.6069840, -120.1766420 34.6067410, -120.1740800 34.6055700, -120.1716610 34.6044760)"
S246,"LINESTRING (-120.1705860 34.6039890, -120.1680050 34.6028260, -120.1679120 34.6027960, -120.1659550 34.6019080, -120.1639370 34.6010010, -120.1633660 34.6007490, -120.1610610 34.5997070, -120.1599460 34.5991930, -120.1575540 34.5981190, -120.1569170 34.5978450, -120.1565050 34.5976340, -120.1561360 34.5974280, -120.1558610 34.5972420, -120.1556150 34.5970620, -120.1553570 34.5968270)"
U101,"LINESTRING (-120.1961840 34.5419410, -120.1959390 34.5424880, -120.1957200 34.5429330, -120.1954560 34.5433080, -120.1953380 34.5434890, -120.1951000 34.5437560, -120.1945460 34.5443620, -120.1939770 34.5449150, -120.1938860 34.5450120, -120.1932710 34.5457430, -120.1931190 34.5460000, -120.1930420 34.5461300, -120.1929860 34.5462310, -120.1927530 34.5467240, -120.1925160 34.5472840, -120.1923320 34.5477830)"
U101,"LINESTRING (-120.2208570 34.5135610, -120.2207560 34.5136250, -120.2201240 34.5141020, -120.2200200 34.5141970, -120.2197010 34.5144460, -120.2194750 34.5146330, -120.2190680 34.5150230, -120.2187670 34.5153610, -120.2186060 34.5155820, -120.2183140 34.5160420, -120.2178460 34.5168720, -120.2174880 34.5174680, -120.2174330 34.5175460, -120.2172630 34.5177880, -120.2171880 34.5178810, -120.2169190 34.5181710, -120.2165770 34.5184690, -120.2163450 34.5186480, -120.2160830 34.5188120, -120.2159420 34.5188850, -120.2157830 34.5189790, -120.2152450 34.5192280, -120.2143970 34.5195880, -120.2140290 34.5197550, -120.2137760 34.5199090, -120.2135310 34.5200700, -120.2131260 34.5203930, -120.2128850 34.5206120, -120.2126910 34.5208100, -120.2125260 34.5210110, -120.2118740 34.5219080, -120.2115740 34.5222360, -120.2111900 34.5225760, -120.2108890 34.5227910, -120.2103980 34.5230670, -120.2099070 34.5232900, -120.2095110 34.5234270, -120.2091330 34.5235370, -120.2087570 34.5236200, -120.2084650 34.5236560, -120.2079960 34.5236740, -120.2078120 34.5236730, -120.2073820 34.5236480, -120.2068420 34.5235780, -120.2060810 34.5234620, -120.2057710 34.5234340, -120.2051640 34.5234310, -120.2048150 34.5234400, -120.2045080 34.5234590, -120.2040560 34.5235190, -120.2036770 34.5235940, -120.2033060 34.5236850, -120.2029420 34.5237950, -120.2021460 34.5240680, -120.2012490 34.5243950, -120.2007650 34.5246000, -120.2004010 34.5247730, -120.1998210 34.5250990, -120.1995220 34.5252890, -120.1992020 34.5254910, -120.1991610 34.5255220)"
S1,"LINESTRING (-120.2526050 34.5173150, -120.2510940 34.5167460, -120.2502460 34.5164640, -120.2493220 34.5161580, -120.2480630 34.5157580, -120.2474040 34.5155940, -120.2470450 34.5155210, -120.2451930 34.5150620, -120.2445080 34.5149060, -120.2441070 34.5148150, -120.2433940 34.5146330, -120.2429200 34.5144890, -120.2419970 34.5141850, -120.2392770 34.5132390)"
S1,"LINESTRING (-120.2663190 34.5197840, -120.2658280 34.5196240, -120.2655420 34.5195420, -120.2636270 34.5188470, -120.2632800 34.5187160, -120.2629940 34.5185960, -120.2620830 34.5183000, -120.2613070 34.5181310, -120.2610080 34.5180860, -120.2606490 34.5180340, -120.2598910 34.5179940, -120.2585590 34.5179850, -120.2582510 34.5179740, -120.2579320 34.5179690, -120.2576650 34.5179450, -120.2572940 34.5179250, -120.2567160 34.5178730, -120.2548620 34.5177510, -120.2546170 34.5177290, -120.2540630 34.5176640, -120.2535580 34.5175890, -120.2534080 34.5175570, -120.2530760 34.5174690, -120.2526050 34.5173150)"
S1,"LINESTRING (-120.2847100 34.5247930, -120.2837710 34.5242680, -120.2827070 34.5236870, -120.2825360 34.5236050, -120.2821440 34.5234310, -120.2817030 34.5232660, -120.2813660 34.5231600, -120.2809350 34.5230500, -120.2807000 34.5230070, -120.2802570 34.5229330, -120.2779540 34.5226520, -120.2761490 34.5224060, -120.2755830 34.5223290, -120.2748230 34.5222110, -120.2740640 34.5220700, -120.2733630 34.5219170, -120.2727650 34.5217530, -120.2717280 34.5214400, -120.2693870 34.5207430, -120.2687760 34.5205570)"
