sign,wkt
S154,"LINESTRING (-120.0015190 34.5857430, -119.9998150 34.5855520)"
S154,"LINESTRING (-119.9998150 34.5855520, -119.9989630 34.5854560)"
S154,"LINESTRING (-119.9576310 34.5732520, -119.9572430 34.5732700, -119.9571470 34.5732640, -119.9568770 34.5732230, -119.9565440 34.5731360, -119.9564280 34.5730940, -119.9563020 34.5730370, -119.9561510 34.5729570, -119.9558660 34.5727870, -119.9556740 34.5726430, -119.9549520 34.5721330)"
U101,"LINESTRING (-119.8662660 34.4351960, -119.8648220 34.4354880, -119.8647920 34.4354940, -119.8645040 34.4355550)"
U101,"LINESTRING (-119.9222690 34.4369430, -119.9218500 34.4367720, -119.9217160 34.4367170, -119.9212660 34.4365500)"
U101,"LINESTRING (-119.9212660 34.4365500, -119.9206660 34.4363270)"
U101,"LINESTRING (-119.9063920 34.4324460, -119.9063050 34.4324400, -119.9062800 34.4324380, -119.9061180 34.4324350)"
U101,"LINESTRING (-119.9114450 34.4329820, -119.9110790 34.4328930, -119.9106060 34.4327960, -119.9103590 34.4327570, -119.9102230 34.4327440, -119.9097230 34.4326960)"
U101,"LINESTRING (-119.9124340 34.4333230, -119.9124020 34.4333100, -119.9122770 34.4332630, -119.9121000 34.4332000, -119.9119880 34.4331600, -119.9115470 34.4330150)"
U101,"LINESTRING (-119.9125950 34.4333840, -119.9124340 34.4333230)"
U101,"LINESTRING (-119.9130780 34.4335660, -119.9130290 34.4335490, -119.9125950 34.4333840)"
U101,"LINESTRING (-119.9115470 34.4330150, -119.9114450 34.4329820)"
U101,"LINESTRING (-119.9097230 34.4326960, -119.9096520 34.4326890, -119.9081410 34.4325880, -119.9081190 34.4325860)"
U101,"LINESTRING (-119.9079790 34.4325720, -119.9079390 34.4325670, -119.9076760 34.4325350, -119.9063920 34.4324460)"
U101,"LINESTRING (-119.9081190 34.4325860, -119.9080720 34.4325830, -119.9079790 34.4325720)"
U101,"LINESTRING (-119.8744470 34.4334790, -119.8737470 34.4337100, -119.8734380 34.4338060)"
U101,"LINESTRING (-119.8745010 34.4334610, -119.8744470 34.4334790)"
U101,"LINESTRING (-119.8692070 34.4348050, -119.8673860 34.4350260, -119.8664560 34.4351570, -119.8662660 34.4351960)"
U101,"LINESTRING (-119.8734380 34.4338060, -119.8713610 34.4344500, -119.8712830 34.4344740, -119.8711580 34.4344960, -119.8708380 34.4345530, -119.8707210 34.4345740)"
U101,"LINESTRING (-119.8707210 34.4345740, -119.8705490 34.4346050, -119.8704360 34.4346250)"
U101,"LINESTRING (-119.8704360 34.4346250, -119.8703850 34.4346340)"
U101,"LINESTRING (-119.8330430 34.4395450, -119.8328860 34.4395590, -119.8328660 34.4395610, -119.8324620 34.4395920, -119.8324180 34.4395950)"
U101,"LINESTRING (-119.8507170 34.4378870, -119.8484890 34.4379700, -119.8482110 34.4379950, -119.8481370 34.4380040, -119.8477440 34.4380490)"
U101,"LINESTRING (-119.8645040 34.4355550, -119.8639210 34.4356770, -119.8613610 34.4362600, -119.8604370 34.4364440, -119.8591730 34.4366700)"
U101,"LINESTRING (-119.8551610 34.4374340, -119.8542980 34.4375920, -119.8534260 34.4377250, -119.8530160 34.4377660, -119.8529050 34.4377690, -119.8528670 34.4377700, -119.8528360 34.4377720)"
U101,"LINESTRING (-119.8559940 34.4372770, -119.8557050 34.4373350, -119.8551610 34.4374340)"
U101,"LINESTRING (-119.8520080 34.4378200, -119.8519990 34.4378210, -119.8511040 34.4378730, -119.8509430 34.4378790, -119.8507170 34.4378870)"
U101,"LINESTRING (-119.8528360 34.4377720, -119.8520080 34.4378200)"
U101,"LINESTRING (-119.8372040 34.4391720, -119.8371140 34.4391800)"
U101,"LINESTRING (-119.8164580 34.4410480, -119.8161650 34.4410750, -119.8149970 34.4412130, -119.8141320 34.4413430, -119.8129030 34.4415620)"
U101,"LINESTRING (-119.8307760 34.4397250, -119.8293950 34.4398380)"
U101,"LINESTRING (-119.8316060 34.4396580, -119.8315670 34.4396610, -119.8314630 34.4396690, -119.8307760 34.4397250)"
U101,"LINESTRING (-119.8323350 34.4396000, -119.8316060 34.4396580)"
U101,"LINESTRING (-119.8324180 34.4395950, -119.8323350 34.4396000)"
U101,"LINESTRING (-119.8230940 34.4404390, -119.8221200 34.4405280, -119.8204810 34.4406610, -119.8168080 34.4410160)"
U101,"LINESTRING (-119.8168080 34.4410160, -119.8166580 34.4410300, -119.8165790 34.4410370, -119.8164580 34.4410480)"
U101,"LINESTRING (-119.8118840 34.4417320, -119.8112580 34.4418270, -119.8108520 34.4418810, -119.8097900 34.4419790, -119.8090790 34.4420190, -119.8085620 34.4420260, -119.8085040 34.4420270, -119.8083350 34.4420110, -119.8074010 34.4419220)"
U101,"LINESTRING (-119.8070660 34.4418900, -119.8056690 34.4417560)"
U101,"LINESTRING (-119.8074010 34.4419220, -119.8073810 34.4419200, -119.8070660 34.4418900)"
U101,"LINESTRING (-119.8053200 34.4417260, -119.8050790 34.4417070, -119.8047960 34.4416830)"
U101,"LINESTRING (-119.8056690 34.4417560, -119.8055000 34.4417400, -119.8053200 34.4417260)"
S154,"LINESTRING (-119.9007530 34.5483510, -119.8999120 34.5482010, -119.8998650 34.5481930, -119.8978870 34.5478050)"
S154,"LINESTRING (-119.9112660 34.5550040, -119.9113960 34.5557320, -119.9114910 34.5561710, -119.9115310 34.5563130)"
S154,"LINESTRING (-119.8333090 34.5247910, -119.8324640 34.5240370, -119.8319080 34.5235170, -119.8317670 34.5233860, -119.8313280 34.5230060, -119.8309980 34.5226930)"
S154,"LINESTRING (-119.8338880 34.5253090, -119.8336700 34.5251120, -119.8333090 34.5247910)"
U101,"LINESTRING (-119.6697360 34.4202960, -119.6685590 34.4206330, -119.6682670 34.4207110, -119.6670950 34.4210390, -119.6669460 34.4210910, -119.6661590 34.4213170)"
S154,"LINESTRING (-119.7781230 34.4712900, -119.7781200 34.4713580, -119.7780980 34.4714820, -119.7780600 34.4716030, -119.7780190 34.4716940, -119.7780070 34.4717200, -119.7778290 34.4720130)"
U101,"LINESTRING (-119.7366890 34.4282650, -119.7366390 34.4282590, -119.7365560 34.4282510, -119.7362860 34.4282270, -119.7345930 34.4281170, -119.7338040 34.4280280, -119.7337630 34.4280230)"
U101,"LINESTRING (-119.7917470 34.4421860, -119.7906540 34.4423330, -119.7900540 34.4423810, -119.7893720 34.4424020, -119.7892850 34.4424040)"
U101,"LINESTRING (-119.7942980 34.4418590, -119.7938710 34.4418980, -119.7930560 34.4420110, -119.7917470 34.4421860)"
U101,"LINESTRING (-119.7881870 34.4424020, -119.7881500 34.4424010, -119.7872700 34.4423470, -119.7851040 34.4421540)"
U101,"LINESTRING (-119.7882640 34.4424040, -119.7881870 34.4424020)"
U101,"LINESTRING (-119.7851040 34.4421540, -119.7847100 34.4421190)"
U101,"LINESTRING (-119.7722170 34.4414490, -119.7717520 34.4413570, -119.7714410 34.4412960, -119.7710020 34.4412090, -119.7708430 34.4411770)"
U101,"LINESTRING (-119.7694650 34.4410060, -119.7693470 34.4409950, -119.7691320 34.4409790, -119.7690160 34.4409810, -119.7689380 34.4409810, -119.7684900 34.4409790, -119.7678960 34.4410010)"
U101,"LINESTRING (-119.7708430 34.4411770, -119.7706130 34.4411330, -119.7702880 34.4410850, -119.7699990 34.4410540, -119.7696380 34.4410210)"
U101,"LINESTRING (-119.7696380 34.4410210, -119.7695520 34.4410140)"
U101,"LINESTRING (-119.7695520 34.4410140, -119.7694650 34.4410060)"
S154,"LINESTRING (-119.7702420 34.4604130, -119.7703070 34.4605900, -119.7709210 34.4623250, -119.7709700 34.4624590, -119.7710710 34.4627370, -119.7711980 34.4631410, -119.7712800 34.4634620, -119.7713270 34.4636470, -119.7714160 34.4641500, -119.7714680 34.4645930, -119.7715130 34.4652340, -119.7715240 34.4654650)"
S154,"LINESTRING (-119.7756930 34.4696910, -119.7754380 34.4696690, -119.7752280 34.4696600, -119.7751840 34.4696580, -119.7745830 34.4696360, -119.7743060 34.4696020, -119.7742520 34.4695950, -119.7739280 34.4695260, -119.7736200 34.4694360, -119.7732690 34.4692990)"
S154,"LINESTRING (-119.7770810 34.4699240, -119.7769530 34.4698720, -119.7767340 34.4698040, -119.7765070 34.4697600, -119.7761640 34.4697210, -119.7757490 34.4696960, -119.7756930 34.4696910)"
S154,"LINESTRING (-119.7715240 34.4654650, -119.7715390 34.4657740)"
S154,"LINESTRING (-119.7732690 34.4692990, -119.7730310 34.4691570, -119.7727520 34.4689760, -119.7725820 34.4688330, -119.7723980 34.4686480)"
S154,"LINESTRING (-119.7719430 34.4680280, -119.7719540 34.4680500, -119.7721300 34.4683280, -119.7721990 34.4684130)"
S154,"LINESTRING (-119.7721990 34.4684130, -119.7722180 34.4684370, -119.7723400 34.4685900, -119.7723980 34.4686480)"
U101,"LINESTRING (-119.7516310 34.4368350, -119.7516170 34.4368230, -119.7515510 34.4367630, -119.7503340 34.4356720)"
U101,"LINESTRING (-119.7525600 34.4376630, -119.7524630 34.4375750, -119.7516660 34.4368660, -119.7516310 34.4368350)"
U101,"LINESTRING (-119.7536690 34.4386630, -119.7525600 34.4376630)"
U101,"LINESTRING (-119.7537930 34.4387740, -119.7536690 34.4386630)"
U101,"LINESTRING (-119.7397510 34.4289820, -119.7395490 34.4289130, -119.7390800 34.4287640, -119.7386050 34.4286260, -119.7383210 34.4285510)"
U101,"LINESTRING (-119.7409910 34.4294540, -119.7404720 34.4292440, -119.7400140 34.4290730, -119.7397510 34.4289820)"
U101,"LINESTRING (-119.7383210 34.4285510, -119.7381260 34.4285000, -119.7376880 34.4284100, -119.7373400 34.4283510, -119.7369910 34.4283000, -119.7366890 34.4282650)"
U101,"LINESTRING (-119.7597940 34.4413220, -119.7597710 34.4413230, -119.7597430 34.4413240, -119.7596310 34.4413260, -119.7589550 34.4413230, -119.7582800 34.4412590, -119.7582710 34.4412560)"
S154,"LINESTRING (-119.7598020 34.4455540, -119.7597900 34.4462550, -119.7598010 34.4466890, -119.7598200 34.4469080, -119.7599130 34.4474990, -119.7599300 34.4475820)"
S154,"LINESTRING (-119.7598530 34.4424370, -119.7598570 34.4425260, -119.7598720 34.4430450, -119.7598630 34.4432650, -119.7598400 34.4438590, -119.7598370 34.4439990, -119.7598330 34.4442180, -119.7598300 34.4443320)"
U101,"LINESTRING (-119.7598800 34.4413190, -119.7598580 34.4413200, -119.7598010 34.4413220)"
S154,"LINESTRING (-119.7598520 34.4418890, -119.7598410 34.4421530, -119.7598530 34.4424370)"
U101,"LINESTRING (-119.7598200 34.4417260, -119.7597300 34.4417310)"
S154,"LINESTRING (-119.7598570 34.4417540, -119.7598580 34.4417240)"
U101,"LINESTRING (-119.7598010 34.4413220, -119.7597940 34.4413220)"
U101,"LINESTRING (-119.7598580 34.4417240, -119.7598200 34.4417260)"
S154,"LINESTRING (-119.7598570 34.4417540, -119.7598520 34.4418890)"
S154,"LINESTRING (-119.7598230 34.4446040, -119.7598070 34.4452380, -119.7598020 34.4455540)"
S154,"LINESTRING (-119.7598300 34.4443320, -119.7598230 34.4446040)"
S154,"LINESTRING (-119.7624790 34.4514670, -119.7623790 34.4513850, -119.7623480 34.4513590)"
S154,"LINESTRING (-119.7622250 34.4512580, -119.7621290 34.4511640)"
S154,"LINESTRING (-119.7623480 34.4513590, -119.7622590 34.4512860, -119.7622250 34.4512580)"
S154,"LINESTRING (-119.7599300 34.4475820, -119.7599650 34.4477560, -119.7599940 34.4478450)"
U101,"LINESTRING (-119.7553350 34.4400520, -119.7552050 34.4399650, -119.7550190 34.4398330, -119.7548380 34.4396950, -119.7546630 34.4395530, -119.7544940 34.4394060, -119.7544510 34.4393670, -119.7542860 34.4392180)"
U101,"LINESTRING (-119.7557910 34.4403240, -119.7556630 34.4402540, -119.7555920 34.4402140, -119.7555520 34.4401890, -119.7553960 34.4400920, -119.7553350 34.4400520)"
U101,"LINESTRING (-119.7040370 34.4136560, -119.7039990 34.4136260, -119.7037860 34.4134710, -119.7036850 34.4134020, -119.7035670 34.4133220, -119.7033430 34.4131780, -119.7032840 34.4131430, -119.7032000 34.4130930, -119.7031130 34.4130410, -119.7028600 34.4129260, -119.7026030 34.4128180, -119.7023420 34.4127180, -119.7020780 34.4126240, -119.7018090 34.4125370, -119.7015380 34.4124580, -119.7013670 34.4124100, -119.7010200 34.4123290, -119.7006670 34.4122670, -119.7004890 34.4122420, -119.7004190 34.4122340)"
U101,"LINESTRING (-119.7261420 34.4267160, -119.7258110 34.4266720)"
U101,"LINESTRING (-119.7337170 34.4280180, -119.7336500 34.4280080, -119.7330270 34.4279120, -119.7327000 34.4278500)"
U101,"LINESTRING (-119.7337630 34.4280230, -119.7337170 34.4280180)"
U101,"LINESTRING (-119.7072520 34.4163510, -119.7066780 34.4159510)"
U101,"LINESTRING (-119.7072920 34.4163800, -119.7072520 34.4163510)"
U101,"LINESTRING (-119.7072970 34.4163830, -119.7072920 34.4163800)"
U101,"LINESTRING (-119.6874500 34.4193470, -119.6871860 34.4194050, -119.6870480 34.4194300, -119.6867710 34.4194670, -119.6847970 34.4196590)"
U101,"LINESTRING (-119.6937050 34.4145120, -119.6936400 34.4145800, -119.6933540 34.4148560)"
U101,"LINESTRING (-119.6933540 34.4148560, -119.6931370 34.4150650, -119.6923040 34.4158180, -119.6922660 34.4158520, -119.6921240 34.4160030, -119.6916170 34.4164730, -119.6904890 34.4175290)"
U101,"LINESTRING (-119.6981770 34.4123120, -119.6980360 34.4123370, -119.6978110 34.4123830, -119.6976260 34.4124250, -119.6975880 34.4124340, -119.6973670 34.4124910, -119.6971480 34.4125530, -119.6970950 34.4125700)"
U101,"LINESTRING (-119.6996850 34.4121890, -119.6995320 34.4121880, -119.6993230 34.4121910, -119.6992260 34.4121950)"
U101,"LINESTRING (-119.7004190 34.4122340, -119.7003100 34.4122220, -119.7001310 34.4122070, -119.6997420 34.4121900, -119.6996850 34.4121890)"
U101,"LINESTRING (-119.6991200 34.4121980, -119.6988960 34.4122160, -119.6986800 34.4122390, -119.6982490 34.4122990, -119.6981770 34.4123120)"
U101,"LINESTRING (-119.6992260 34.4121950, -119.6991930 34.4121960)"
U101,"LINESTRING (-119.6957190 34.4131070, -119.6954680 34.4132210, -119.6952760 34.4133220)"
U101,"LINESTRING (-119.6952760 34.4133220, -119.6952480 34.4133360, -119.6952330 34.4133450, -119.6950700 34.4134520, -119.6948970 34.4135710, -119.6947290 34.4136950, -119.6943080 34.4140210, -119.6941960 34.4141070, -119.6938240 34.4144020, -119.6937280 34.4144880, -119.6937050 34.4145120)"
U101,"LINESTRING (-119.6904890 34.4175290, -119.6899910 34.4179960)"
U101,"LINESTRING (-119.6899910 34.4179960, -119.6899740 34.4180120, -119.6897540 34.4182230)"
U101,"LINESTRING (-119.6890590 34.4187060, -119.6887760 34.4188560, -119.6886150 34.4189350, -119.6884510 34.4190100, -119.6882840 34.4190790, -119.6881140 34.4191440, -119.6879420 34.4192040, -119.6877670 34.4192590, -119.6874570 34.4193450, -119.6874500 34.4193470)"
U101,"LINESTRING (-119.6770810 34.4203920, -119.6768240 34.4203980, -119.6766130 34.4203900, -119.6764020 34.4203770, -119.6761920 34.4203580, -119.6760690 34.4203430, -119.6759830 34.4203330, -119.6758600 34.4203150)"
U101,"LINESTRING (-119.6812000 34.4200280, -119.6810350 34.4200430, -119.6806250 34.4200800, -119.6779640 34.4203330)"
U101,"LINESTRING (-119.6837840 34.4197680, -119.6828890 34.4198670, -119.6825520 34.4199040)"
U101,"LINESTRING (-119.6843080 34.4197100, -119.6842430 34.4197180, -119.6841300 34.4197300, -119.6840590 34.4197380, -119.6837840 34.4197680)"
U101,"LINESTRING (-119.6825520 34.4199040, -119.6824900 34.4199110, -119.6820230 34.4199530)"
U101,"LINESTRING (-119.6820230 34.4199530, -119.6818110 34.4199720, -119.6813870 34.4200110)"
U101,"LINESTRING (-119.6813160 34.4200170, -119.6812000 34.4200280)"
U101,"LINESTRING (-119.6813870 34.4200110, -119.6813160 34.4200170)"
U101,"LINESTRING (-119.6779640 34.4203330, -119.6776820 34.4203590, -119.6775940 34.4203680)"
U101,"LINESTRING (-119.6775940 34.4203680, -119.6775360 34.4203730, -119.6773970 34.4203880, -119.6772560 34.4203910, -119.6772100 34.4203890, -119.6770810 34.4203920)"
U101,"LINESTRING (-119.6758600 34.4203150, -119.6757750 34.4203030, -119.6755690 34.4202670, -119.6753630 34.4202260, -119.6751600 34.4201790, -119.6740930 34.4200050, -119.6734410 34.4198980, -119.6734010 34.4198920)"
U101,"LINESTRING (-119.6699070 34.4202470, -119.6697720 34.4202860, -119.6697360 34.4202960)"
U101,"LINESTRING (-119.6707540 34.4200100, -119.6706300 34.4200370, -119.6699070 34.4202470)"
S154,"LINESTRING (-119.7759520 34.4836540, -119.7757010 34.4835820, -119.7753080 34.4834920, -119.7750360 34.4834290, -119.7748770 34.4833800, -119.7747570 34.4833320, -119.7744490 34.4831670, -119.7740180 34.4829020)"
S154,"LINESTRING (-119.7778290 34.4720130, -119.7775990 34.4722890, -119.7774680 34.4724330, -119.7773950 34.4725060)"
S154,"LINESTRING (-119.7765770 34.4838100, -119.7761630 34.4837140, -119.7759520 34.4836540)"
U101,"LINESTRING (-119.6545540 34.4228290, -119.6543460 34.4227750, -119.6542690 34.4227500, -119.6542470 34.4227430)"
U101,"LINESTRING (-119.6613810 34.4226520, -119.6603960 34.4229210, -119.6601670 34.4229600, -119.6599730 34.4229860, -119.6597650 34.4230130, -119.6595560 34.4230230, -119.6583850 34.4231270, -119.6572150 34.4231410, -119.6567510 34.4230920, -119.6565420 34.4230640, -119.6562560 34.4231160, -119.6558270 34.4230770, -119.6553720 34.4230060, -119.6550720 34.4229500)"
U101,"LINESTRING (-119.6658190 34.4214150, -119.6651720 34.4216010, -119.6646250 34.4217540)"
U101,"LINESTRING (-119.6661590 34.4213170, -119.6658190 34.4214150)"
U101,"LINESTRING (-119.6542470 34.4227430, -119.6538880 34.4226250)"
U101,"LINESTRING (-119.6538880 34.4226250, -119.6537160 34.4225690)"
U101,"LINESTRING (-119.6550720 34.4229500, -119.6549070 34.4229200, -119.6545540 34.4228290)"
U101,"LINESTRING (-119.6493640 34.4210690, -119.6477490 34.4206820, -119.6476920 34.4206680)"
U101,"LINESTRING (-119.6476920 34.4206680, -119.6473790 34.4205930, -119.6472520 34.4205530, -119.6461940 34.4202860)"
U101,"LINESTRING (-119.6409820 34.4203880, -119.6408170 34.4204530, -119.6406320 34.4205390, -119.6402680 34.4207270, -119.6400680 34.4208260, -119.6400240 34.4208520, -119.6399640 34.4208940, -119.6399540 34.4209000, -119.6399290 34.4209140)"
U101,"LINESTRING (-119.6411360 34.4203190, -119.6409820 34.4203880)"
U101,"LINESTRING (-119.6314860 34.4224820, -119.6313850 34.4224550, -119.6305270 34.4222260, -119.6296780 34.4219690, -119.6288670 34.4217090)"
U101,"LINESTRING (-119.6288670 34.4217090, -119.6288420 34.4217010, -119.6283690 34.4215610)"
U101,"LINESTRING (-119.6283690 34.4215610, -119.6280370 34.4214640)"
U101,"LINESTRING (-119.6125860 34.4217370, -119.6123000 34.4216990, -119.6110970 34.4215380, -119.6105130 34.4214470, -119.6087460 34.4210880, -119.6081080 34.4209660, -119.6075690 34.4208770, -119.6070650 34.4208290, -119.6067050 34.4208200, -119.6063620 34.4208240, -119.6057810 34.4208610, -119.6054870 34.4209080, -119.6054060 34.4209170)"
U101,"LINESTRING (-119.6141020 34.4218660, -119.6138490 34.4218580, -119.6134910 34.4218340, -119.6129520 34.4217860, -119.6125860 34.4217370)"
U101,"LINESTRING (-119.6144820 34.4218550, -119.6141660 34.4218680, -119.6141370 34.4218670)"
U101,"LINESTRING (-119.6141370 34.4218670, -119.6141020 34.4218660)"
U101,"LINESTRING (-119.6054060 34.4209170, -119.6051730 34.4209440, -119.6047200 34.4210100)"
U101,"LINESTRING (-119.5447910 34.4061140, -119.5445220 34.4060770, -119.5439480 34.4060250, -119.5435080 34.4060050, -119.5432560 34.4059960)"
U101,"LINESTRING (-119.5432560 34.4059960, -119.5427090 34.4059770, -119.5422300 34.4059720)"
U101,"LINESTRING (-119.5884330 34.4176090, -119.5882660 34.4175580)"
U101,"LINESTRING (-119.5826140 34.4166920, -119.5825900 34.4166880)"
U101,"LINESTRING (-119.5769390 34.4156470, -119.5766410 34.4156350, -119.5765380 34.4156350, -119.5764900 34.4156350, -119.5764190 34.4156350)"
U101,"LINESTRING (-119.5764190 34.4156350, -119.5761750 34.4156340, -119.5759100 34.4156390)"
U101,"LINESTRING (-119.5632660 34.4165180, -119.5617880 34.4163740, -119.5609500 34.4162720, -119.5606010 34.4162010, -119.5605170 34.4161760, -119.5601760 34.4160940, -119.5599730 34.4160250, -119.5595260 34.4158470, -119.5591610 34.4156770, -119.5587530 34.4154150, -119.5584570 34.4152140, -119.5580070 34.4148480, -119.5577810 34.4146310, -119.5576620 34.4145330)"
U101,"LINESTRING (-119.5576620 34.4145330, -119.5575310 34.4144250)"
U101,"LINESTRING (-119.5575310 34.4144250, -119.5572730 34.4142120)"
U101,"LINESTRING (-119.5529000 34.4108680, -119.5515070 34.4098480, -119.5504470 34.4091130, -119.5493560 34.4083230, -119.5489320 34.4080110)"
U101,"LINESTRING (-119.5532350 34.4111040, -119.5529580 34.4109090)"
U101,"LINESTRING (-119.5529580 34.4109090, -119.5529030 34.4108700)"
S135,"LINESTRING (-120.4365340 34.8649250, -120.4365280 34.8649930, -120.4365270 34.8650940, -120.4365280 34.8652230)"
U101,"LINESTRING (-120.3954620 34.8648530, -120.3956720 34.8650890, -120.3958760 34.8653340)"
S1,"LINESTRING (-120.4568020 34.6390150, -120.4566010 34.6390130, -120.4553640 34.6390070, -120.4540840 34.6389860, -120.4528140 34.6389720, -120.4519870 34.6389650)"
S1,"LINESTRING (-120.4539960 34.8606690, -120.4541880 34.8611930, -120.4543580 34.8615130, -120.4546830 34.8620370, -120.4549450 34.8623950, -120.4553100 34.8627900, -120.4555540 34.8630170, -120.4558570 34.8632780, -120.4563220 34.8636200, -120.4567420 34.8638990, -120.4569260 34.8639820, -120.4569470 34.8639960)"
S1,"LINESTRING (-120.4575890 34.6679750, -120.4575780 34.6685780, -120.4575680 34.6689240, -120.4575630 34.6697930, -120.4575630 34.6699520)"
S246,"LINESTRING (-120.4798980 34.6391940, -120.4797480 34.6391940, -120.4794220 34.6391940, -120.4778080 34.6391700)"
S246,"LINESTRING (-120.4778080 34.6391700, -120.4776690 34.6391680)"
S1,"LINESTRING (-120.4568770 34.6390150, -120.4578400 34.6390230)"
S246,"LINESTRING (-120.4581150 34.6389200, -120.4579720 34.6389190)"
S246,"LINESTRING (-120.4579720 34.6389190, -120.4578400 34.6390230)"
S1,"LINESTRING (-120.4568770 34.6390150, -120.4568020 34.6390150)"
S1,"LINESTRING (-120.4576060 34.6599540, -120.4576140 34.6601020, -120.4576010 34.6607280, -120.4576010 34.6607340)"
S1,"LINESTRING (-120.4576250 34.6650990, -120.4575830 34.6668700, -120.4575840 34.6677670, -120.4575860 34.6678230)"
S1,"LINESTRING (-120.4575870 34.6678720, -120.4575900 34.6679510, -120.4575890 34.6679750)"
S1,"LINESTRING (-120.4575860 34.6678230, -120.4575870 34.6678720)"
S1,"LINESTRING (-120.4882860 34.7110690, -120.4885590 34.7117980, -120.4888440 34.7126170)"
S1,"LINESTRING (-120.4882310 34.7109210, -120.4882860 34.7110690)"
S1,"LINESTRING (-120.4888440 34.7126170, -120.4888800 34.7127210)"
S1,"LINESTRING (-120.4894270 34.7158010, -120.4894480 34.7161640, -120.4895340 34.7168300, -120.4896210 34.7171920, -120.4896690 34.7173590)"
S1,"LINESTRING (-120.4984980 34.7283370, -120.4989450 34.7287880, -120.4996040 34.7294660)"
S1,"LINESTRING (-120.4568910 34.6750330, -120.4567520 34.6757790, -120.4566280 34.6764690, -120.4564770 34.6771140, -120.4564580 34.6771770, -120.4563430 34.6775140)"
S1,"LINESTRING (-120.4565150 34.6790960, -120.4567010 34.6793450, -120.4568360 34.6795410, -120.4578090 34.6809530)"
S1,"LINESTRING (-120.4559370 34.6782210, -120.4559020 34.6782630, -120.4558280 34.6783600, -120.4559200 34.6784460, -120.4560520 34.6785770, -120.4562040 34.6787400, -120.4564420 34.6789960, -120.4565150 34.6790960)"
S1,"LINESTRING (-120.4563430 34.6775140, -120.4563110 34.6776090, -120.4561550 34.6779190, -120.4560970 34.6779990, -120.4559670 34.6781840, -120.4559370 34.6782210)"
S1,"LINESTRING (-120.4687770 34.6994920, -120.4684660 34.6992680, -120.4684170 34.6992330, -120.4683950 34.6992170)"
S1,"LINESTRING (-120.4683950 34.6992170, -120.4675440 34.6985810)"
S1,"LINESTRING (-120.4801660 34.7054110, -120.4767810 34.7043570, -120.4765250 34.7042770, -120.4755340 34.7039430, -120.4752800 34.7038330, -120.4750640 34.7037270)"
S1,"LINESTRING (-120.4813740 34.7057870, -120.4801660 34.7054110)"
S1,"LINESTRING (-120.4816760 34.7058810, -120.4813740 34.7057870)"
S1,"LINESTRING (-120.4750640 34.7037270, -120.4748080 34.7036010, -120.4742330 34.7032970, -120.4740860 34.7032090)"
S1,"LINESTRING (-120.4915860 34.7745600, -120.4912610 34.7745320, -120.4909220 34.7745390, -120.4904270 34.7745620, -120.4889970 34.7746830, -120.4883360 34.7747550, -120.4880220 34.7748010, -120.4872250 34.7749660, -120.4872120 34.7749700, -120.4868660 34.7750730)"
S1,"LINESTRING (-120.5136520 34.7594300, -120.5125200 34.7650130, -120.5124930 34.7651540)"
S1,"LINESTRING (-120.5204160 34.7508400, -120.5204290 34.7508530, -120.5195040 34.7514410, -120.5194900 34.7514490, -120.5193250 34.7515480, -120.5190520 34.7517300)"
S1,"LINESTRING (-120.5033960 34.7744710, -120.5031710 34.7744550, -120.5028770 34.7744570, -120.5025890 34.7744540, -120.5020740 34.7745070, -120.5018670 34.7745320, -120.5008840 34.7747320, -120.4996640 34.7749570, -120.4976190 34.7753900, -120.4969800 34.7754960, -120.4966380 34.7755310, -120.4961280 34.7755640, -120.4961090 34.7755650, -120.4955770 34.7755340, -120.4953180 34.7755100, -120.4949520 34.7754460)"
S1,"LINESTRING (-120.4868660 34.7750730, -120.4867090 34.7751200, -120.4862240 34.7752910, -120.4857990 34.7754660, -120.4853410 34.7756880, -120.4852010 34.7757590)"
S1,"LINESTRING (-120.4852010 34.7757590, -120.4846910 34.7760190, -120.4846390 34.7760440, -120.4844700 34.7761310)"
S1,"LINESTRING (-120.4713270 34.7792370, -120.4710060 34.7793050)"
S1,"LINESTRING (-120.4319760 34.6334400, -120.4320090 34.6335510, -120.4320680 34.6336900, -120.4321380 34.6338340, -120.4322240 34.6339460, -120.4323320 34.6340660, -120.4324340 34.6341640, -120.4325460 34.6342530, -120.4333110 34.6347160, -120.4334440 34.6348020, -120.4336940 34.6349760, -120.4338720 34.6351400, -120.4340290 34.6353330, -120.4340600 34.6353810, -120.4340910 34.6354170, -120.4341230 34.6354620, -120.4341920 34.6355780, -120.4342730 34.6357520, -120.4343400 34.6359630, -120.4343660 34.6361630, -120.4343570 34.6363720, -120.4343270 34.6365730, -120.4342250 34.6370470, -120.4341840 34.6373610, -120.4342010 34.6376070, -120.4342560 34.6379320, -120.4343110 34.6380930, -120.4344030 34.6383040, -120.4347260 34.6389350)"
S1,"LINESTRING (-120.4407450 34.6388550, -120.4403540 34.6388500, -120.4403300 34.6388520, -120.4402630 34.6388740, -120.4378720 34.6402260)"
S1,"LINESTRING (-120.4519870 34.6389650, -120.4515610 34.6389620, -120.4502850 34.6389380, -120.4491100 34.6389380, -120.4489940 34.6389370, -120.4489830 34.6389370, -120.4481270 34.6389290)"
S1,"LINESTRING (-120.4410780 34.6388590, -120.4407450 34.6388550)"
